long,lat,name,X.U.05E7..U.05D5..U.05D3._.U.05E1.,elc,group_,F_.U.05E6..U.05D5..U.05D5..U.05EA.
34.77898084000003,31.254812955000034,ה/10,17,יש,0,
34.79487302200005,31.266566502000046,ד/8,17,יש,0,
34.780569927000045,31.250463508000053,ה/7,17,יש,0,
34.80237770600007,31.254182377000063,ג/41,17,אין,0,
34.796810434000065,31.26837912600007,ד/19,17,יש,0,
34.78354120000006,31.271307544000024,ד/51,17,יש,0,
34.78921211800008,31.24829516400007,א/11,17,יש,0,
34.80703833900003,31.273750758000062,ר/6,17,יש,0,
34.80801928000005,31.27259078900005,ר/5,17,יש,0,
34.80854958200007,31.25704040000005,ג/32,17,יש,0,
34.77931693600004,31.25269931500003,ה/3,17,יש,0,
34.80255429400006,31.251797270000054,ג/10,17,יש,0,
34.76984689900007,31.266341600000032,ו/1,17,יש,0,
34.80727280600007,31.27098784900005,ר/8,17,יש,0,
34.80086299900006,31.266029333000063,ד/26,17,יש,0,
34.81164565600005,31.25408293000004,ג/48,0,,0,
34.78429040800006,31.27013664800006,ד/57,0,,0,
34.795037980000075,31.240211396000063,ע/11,0,,0,
34.79612406100006,31.264656778000074,ד/50,0,,0,
34.808334993000074,31.246330439000076,ג/50,0,,0,
34.78255038900005,31.23477883700008,ע/10,0,,0,
34.808149154000034,31.25242828300003,ג/40,0,,0,
